Time (s),Station ID,Range (km),Range Rate (km/s)
525140,1,58951285.68,1.904779538
525150,1,58951304.73,1.904886615
525160,1,58951323.78,1.904993818
525170,1,58951342.83,1.905101537
525180,1,58951361.88,1.905208893
525190,1,58951380.93,1.905316619
525200,1,58951399.99,1.905424638
525210,1,58951419.04,1.905532701
525220,1,58951438.1,1.905641095
525230,1,58951457.15,1.905749707
525240,1,58951476.21,1.905858337
525250,1,58951495.27,1.905967267
525260,1,58951514.33,1.906076239
525270,1,58951533.39,1.906185351
525280,1,58951552.45,1.906294764
525290,1,58951571.52,1.906404516
525300,1,58951590.58,1.906514279
525310,1,58951609.65,1.90662415
525320,1,58951628.72,1.906734229
525330,1,58951647.78,1.90684455
525340,1,58951666.85,1.906955017
525350,1,58951685.92,1.907065928
525360,1,58951704.99,1.907176708
525370,1,58951724.07,1.907287665
525380,1,58951743.14,1.907399054
525390,1,58951762.22,1.907510474
525400,1,58951781.29,1.907621875
525410,1,58951800.37,1.907733722
525420,1,58951819.45,1.907845775
525430,1,58951838.53,1.907957627
525440,1,58951857.6,1.908069965
525450,1,58951876.69,1.908182666
525460,1,58951895.77,1.908295399
525470,1,58951914.85,1.908408115
525480,1,58951933.94,1.908521392
525490,1,58951953.02,1.908634361
525500,1,58951972.11,1.908747936
525510,1,58951991.2,1.908861324
525520,1,58952010.29,1.90897536
525530,1,58952029.38,1.90908891
525540,1,58952048.47,1.9092031
525550,1,58952067.56,1.909317492
525560,1,58952086.65,1.909431921
525570,1,58952105.75,1.909546611
525580,1,58952124.84,1.909661308
525590,1,58952143.94,1.909776452
525600,1,58952163.04,1.909891574
525610,1,58952182.14,1.910006837
525620,1,58952201.24,1.910122547
525630,1,58952220.34,1.910238244
525640,1,58952239.44,1.910354254
525650,1,58952258.55,1.910470077
525660,1,58952277.66,1.910586507
525670,1,58952296.76,1.910702923
525680,1,58952315.87,1.910819536
525690,1,58952334.98,1.910936342
525700,1,58952354.09,1.911053405
525710,1,58952373.2,1.911170629
525720,1,58952392.31,1.911287885
525730,1,58952411.43,1.911405567
525740,1,58952430.54,1.91152309
525750,1,58952449.66,1.911640884
525760,1,58952468.77,1.911759076
525770,1,58952487.89,1.91187733
525780,1,58952507.01,1.911995667
525790,1,58952526.13,1.912114315
525800,1,58952545.25,1.912233159
525810,1,58952564.37,1.912352014
525820,1,58952583.5,1.912471212
525830,1,58952602.62,1.912590374
525840,1,58952621.75,1.91271005
525850,1,58952640.88,1.912829602
525860,1,58952660.01,1.912949575
525870,1,58952679.14,1.91306946
525880,1,58952698.27,1.913189608
525890,1,58952717.4,1.913310075
525900,1,58952736.54,1.913430462
525910,1,58952755.67,1.913551263
525920,1,58952774.81,1.91367204
525930,1,58952793.94,1.913793395
525940,1,58952813.08,1.913914637
525950,1,58952832.22,1.914035846
525960,1,58952851.36,1.914157492
525970,1,58952870.51,1.914279357
525980,1,58952889.65,1.914401229
525990,1,58952908.79,1.914523453
526000,1,58952927.94,1.914645808
526010,1,58952947.09,1.914768322
526020,1,58952966.23,1.914891059
526030,1,58952985.38,1.915013803
526040,1,58953004.53,1.915136573
526050,1,58953023.69,1.915260055
526060,1,58953042.84,1.915383498
526070,1,58953061.99,1.915507061
526080,1,58953081.15,1.91563067
526090,1,58953100.31,1.915754644
526100,1,58953119.47,1.915878798
526110,1,58953138.63,1.916003119
526120,1,58953157.78,1.91612744
526130,1,58953176.95,1.916252054
526140,1,58953196.11,1.916376849
526150,1,58953215.27,1.916501924
526160,1,58953234.44,1.916627
526170,1,58953253.61,1.916752462
526180,1,58953272.78,1.916877718
526190,1,58953291.95,1.917003459
526200,1,58953311.11,1.91712912
526210,1,58953330.29,1.917255456
526220,1,58953349.46,1.91738141
526230,1,58953368.63,1.917507899
526240,1,58953387.81,1.917634507
526250,1,58953406.99,1.917761254
526260,1,58953426.17,1.917888022
526270,1,58953445.35,1.918015011
526280,1,58953464.53,1.918142344
526290,1,58953483.71,1.918269981
526300,1,58953502.89,1.91839755
526310,1,58953522.08,1.918525163
526320,1,58953541.26,1.918653147
526330,1,58953560.45,1.918781181
526340,1,58953579.64,1.918909271
526350,1,58953598.83,1.919037833
526360,1,58953618.02,1.919166552
526370,1,58953637.21,1.919295327
526380,1,58953656.4,1.919424542
526390,1,58953675.6,1.91955357
526400,1,58953694.79,1.919682975
526410,1,58953713.99,1.919812588
526420,1,58953733.19,1.919942258
526430,1,58953752.39,1.920072057
526440,1,58953771.59,1.920201973
526450,1,58953790.8,1.920332119
526460,1,58953810,1.920462353
526470,1,58953829.2,1.920593308
526480,1,58953848.41,1.920723946
526490,1,58953867.62,1.920854819
526500,1,58953886.83,1.920986014
526510,1,58953906.04,1.921117267
526520,1,58953925.25,1.92124869
526530,1,58953944.46,1.921380353
526540,1,58953963.68,1.921512021
526550,1,58953982.89,1.921643926
526560,1,58954002.11,1.921776104
